x,f(x)
-10.0, 5.658911846252853
-9.99, 6.179640195656377
-9.98, 6.753913404771439
-9.97, 7.388095285163316
-9.96, 8.089428671409213
-9.950000000000001, 8.866175400725735
-9.940000000000001, 9.727781723511562
-9.930000000000001, 10.685074365050648
-9.920000000000002, 11.75049365924124
-9.910000000000002, 12.938371683022707
-9.900000000000002, 14.26526522205857
-9.890000000000002, 15.750355808149958
-9.880000000000003, 17.4159321369834
-9.870000000000003, 19.287974100258833
-9.860000000000003, 21.396862714421022
-9.850000000000003, 23.778246755156584
-9.840000000000003, 26.47410539306086
-9.830000000000004, 29.534057224322922
-9.820000000000004, 33.01698069411702
-9.810000000000004, 36.99303025035582
-9.800000000000004, 41.54615835020769
-9.790000000000004, 46.77728806228918
-9.780000000000005, 52.808327837354106
-9.770000000000005, 59.787283861429735
-9.760000000000005, 67.89481315533114
-9.750000000000005, 77.35268224777172
-9.740000000000006, 88.43476648540965
-9.730000000000006, 101.48146556589714
-9.720000000000006, 116.91875422139809
-9.710000000000006, 135.28358247526194
-9.700000000000006, 157.25806333015788
-9.690000000000007, 183.71595515132398
-9.680000000000007, 215.78654791088198
-9.670000000000007, 254.94349628830426
-9.660000000000007, 303.12989718417555
-9.650000000000007, 362.9367969800945
-9.640000000000008, 437.8617118711503
-9.630000000000008, 532.6890361643916
-9.620000000000008, 654.0596189356312
-9.610000000000008, 811.3399700636488
-9.600000000000009, 1017.9768025578642
-9.590000000000009, 1293.6573908963735
-9.580000000000009, 1667.8450637938106
-9.57000000000001, 2185.734397598553
-9.56000000000001, 2918.6133766054045
-9.55000000000001, 3982.571389505547
-9.54000000000001, 5573.733598958541
-9.53000000000001, 8037.951301335643
-9.52000000000001, 12016.790336104712
-9.51000000000001, 18774.984228899255
-9.50000000000001, 30998.361091694438
-9.49000000000001, 54948.62002424438
-9.480000000000011, 107098.44266802225
-9.470000000000011, 238459.5223308163
-9.460000000000012, 648669.427669756
-9.450000000000012, 2468941.436530292
-9.440000000000012, 1.861977681846079E7
-9.430000000000012, 1.3446946858133683E9
-9.420000000000012, 1.918741471491476E9
-9.410000000000013, 2.0961168860979505E7
-9.400000000000013, 2650831.930037477
-9.390000000000013, 682469.0694479162
-9.380000000000013, 248073.94806620906
-9.370000000000013, 110621.05601235847
-9.360000000000014, 56475.318639976205
-9.350000000000014, 31744.12402916915
-9.340000000000014, 19173.405973258978
-9.330000000000014, 12244.978278886989
-9.320000000000014, 8176.11028373286
-9.310000000000015, 5661.270801280251
-9.300000000000015, 4040.1722484670277
-9.290000000000015, 2957.746802596867
-9.280000000000015, 2213.0590432081135
-9.270000000000016, 1687.3818741225846
-9.260000000000016, 1307.9183719858956
-9.250000000000016, 1028.578485650353
-9.240000000000016, 819.3501244962468
-9.230000000000016, 660.2000523501382
-9.220000000000017, 537.4578782054019
-9.210000000000017, 441.6091736408819
-9.200000000000017, 365.91326191612137
-9.190000000000017, 305.51712535772293
-9.180000000000017, 256.87527845617
-9.170000000000018, 217.36262641838343
-9.160000000000018, 185.01156356047326
-9.150000000000018, 158.3305640062811
-9.140000000000018, 136.17715025068875
-9.130000000000019, 117.66772449747879
-9.120000000000019, 102.11275668027329
-9.110000000000019, 88.96965203768848
-9.10000000000002, 77.80810142865751
-9.09000000000002, 68.2843490059522
-9.08000000000002, 60.121900321591184
-9.07000000000002, 53.09692984156492
-9.06000000000002, 47.02715061334932
-9.05000000000002, 41.7632577274317
-9.04000000000002, 37.18230151410448
-9.03000000000002, 33.18251924965888
-9.020000000000021, 29.67927761348614
-9.010000000000021, 26.601867153505022
-9.000000000000021, 23.89095475517673
-8.990000000000022, 21.496547580156072
-8.980000000000022, 19.376357023066724
-8.970000000000022, 17.494477355283774
-8.960000000000022, 15.820313310326341
-8.950000000000022, 14.327705650564544
-8.940000000000023, 12.99421498801737
-8.930000000000023, 11.800532718911153
-8.920000000000023, 10.729994534345911
-8.910000000000023, 9.768177074928014
-8.900000000000023, 8.902562266325457
-8.890000000000024, 8.122256974261672
-8.880000000000024, 7.4177580531116165
-8.870000000000024, 6.780754784063444
-8.860000000000024, 6.203962222100593
-8.850000000000025, 5.680980183776107
-8.840000000000025, 5.206173577306017
-8.830000000000025, 4.774570554805723
-8.820000000000025, 4.381775593720495
-8.810000000000025, 4.023895121890389
-8.800000000000026, 3.6974737126376773
-8.790000000000026, 3.399439211904806
-8.780000000000026, 3.12705543386847
-8.770000000000026, 2.87788128652481
-8.760000000000026, 2.649735373938157
-8.750000000000027, 2.440665274704525
-8.740000000000027, 2.2489208227240236
-8.730000000000027, 2.0729308214389683
-8.720000000000027, 1.9112827101652705
-8.710000000000027, 1.7627047741692796
-8.700000000000028, 1.626050551265857
-8.690000000000028, 1.5002851390078864
-8.680000000000028, 1.3844731496892615
-8.670000000000028, 1.277768096773304
-8.660000000000029, 1.1794030271188276
-8.650000000000029, 1.0886822394354698
-8.640000000000029, 1.0049739515275842
-8.63000000000003, 0.9277037977141734
-8.62000000000003, 0.8563490538679374
-8.61000000000003, 0.7904335012349201
-8.60000000000003, 0.7295228519415834
-8.59000000000003, 0.6732206691714999
-8.58000000000003, 0.621164723653107
-8.57000000000003, 0.5730237355558391
-8.56000000000003, 0.5284944573232765
-8.550000000000031, 0.48729905852920347
-8.540000000000031, 0.44918277865277406
-8.530000000000031, 0.41391181783948056
-8.520000000000032, 0.3812714393366669
-8.510000000000032, 0.35106426044263184
-8.500000000000032, 0.32310871155306814
-8.490000000000032, 0.2972376452831848
-8.480000000000032, 0.27329707973637274
-8.470000000000033, 0.25114506182133794
-8.460000000000033, 0.23065063812423797
-8.450000000000033, 0.21169292225045933
-8.440000000000033, 0.19416024878803795
-8.430000000000033, 0.17794940513345464
-8.420000000000034, 0.16296493337983314
-8.410000000000034, 0.1491184953137323
-8.400000000000034, 0.13632829431425414
-8.390000000000034, 0.12451854860915883
-8.380000000000035, 0.11361901092800718
-8.370000000000035, 0.1035645301111692
-8.360000000000035, 0.09429465069401873
-8.350000000000035, 0.0857532468947491
-8.340000000000035, 0.07788818779815586
-8.330000000000036, 0.07065103085178348
-8.320000000000036, 0.0639967410796621
-8.310000000000036, 0.0578834336766461
-8.300000000000036, 0.052272137876580575
-8.290000000000036, 0.04712658019341347
-8.280000000000037, 0.042412985318634404
-8.270000000000037, 0.0380998931235153
-8.260000000000037, 0.03415799036268537
-8.250000000000037, 0.030559955808476685
-8.240000000000038, 0.027280317664892754
-8.230000000000038, 0.02429532221743843
-8.220000000000038, 0.021582812771729392
-8.210000000000038, 0.01912211802088752
-8.200000000000038, 0.016893949060274933
-8.190000000000039, 0.014880304339011241
-8.180000000000039, 0.013064381901755184
-8.170000000000039, 0.011430498332143381
-8.16000000000004, 0.009964013861676085
-8.15000000000004, 0.00865126315530879
-8.14000000000004, 0.00747949132803849
-8.13000000000004, 0.006436794785820621
-8.12000000000004, 0.005512066519614726
-8.11000000000004, 0.004694945513596318
-8.10000000000004, 0.0039757699579053675
-8.09000000000004, 0.0033455339830204753
-8.080000000000041, 0.002795847657206474
-8.070000000000041, 0.0023189000107160947
-8.060000000000041, 0.0019074248707391672
-8.050000000000042, 0.0015546693096742694
-8.040000000000042, 0.0012543645263158121
-8.030000000000042, 0.0010006989951559374
-8.020000000000042, 7.882937333330671E-4
-8.010000000000042, 6.121795479410157E-4
-8.000000000000043, 4.6777613855706343E-4
-7.990000000000043, 3.5087294105578436E-4
-7.980000000000043, 2.5761160914057374E-4
-7.970000000000043, 1.8447003963086418E-4
-7.9600000000000435, 1.2824785646686578E-4
-7.950000000000044, 8.605327670565776E-5
-7.940000000000044, 5.529128954707955E-5
-7.930000000000044, 3.365308670436987E-5
-7.920000000000044, 1.9106689277737758E-5
-7.9100000000000446, 9.888722749631888E-6
-7.900000000000045, 4.497297845704796E-6
-7.890000000000045, 1.685960839423447E-6
-7.880000000000045, 4.586824624745961E-7
-7.870000000000045, 6.585995680094769E-8
-7.860000000000046, 1.3120046153927956E-9
-7.850000000000046, 2.513358929657555E-10
-7.840000000000046, 3.8224773205451756E-8
-7.830000000000046, 3.310153650125576E-7
-7.8200000000000465, 1.335506113709231E-6
-7.810000000000047, 3.7515096565875553E-6
-7.800000000000047, 8.524573139109203E-6
-7.790000000000047, 1.684977246346685E-5
-7.780000000000047, 3.017651513486019E-5
-7.7700000000000475, 5.0214376097588346E-5
-7.760000000000048, 7.89399962885028E-5
-7.750000000000048, 1.1860507917356836E-4
-7.740000000000048, 1.7174552631309126E-4
-7.730000000000048, 2.411917590635631E-4
