x,f(x)
-8.230000000000038, -2.7231636984380407
-8.220000000000038, -2.7940735198633107
-8.210000000000038, -2.869069561593555
-8.200000000000038, -2.948505579719688
-8.190000000000039, -3.03277745869981
-8.180000000000039, -3.122329672222464
-8.170000000000039, -3.2176629707511726
-8.16000000000004, -3.319343576346735
-8.15000000000004, -3.4280142411958527
-8.14000000000004, -3.5444076259685766
-8.13000000000004, -3.669362586327694
-8.12000000000004, -3.8038441328402897
-8.11000000000004, -3.9489680686651605
-8.10000000000004, -4.106031635991092
-8.09000000000004, -4.276551953343765
-8.080000000000041, -4.4623146566660585
-8.070000000000041, -4.66543605066884
-8.060000000000041, -4.88844336091154
-8.050000000000042, -5.134379550553033
-8.040000000000042, -5.406941945628352
-8.030000000000042, -5.710668114020875
-8.020000000000042, -6.05118892218261
-8.010000000000042, -6.435578909915398
-8.000000000000043, -6.872850636688368
-7.990000000000043, -7.374667092482354
-7.980000000000043, -7.956393302464504
-7.970000000000043, -8.63869177902261
-7.9600000000000435, -9.45002090342575
-7.950000000000044, -10.430694497363374
-7.940000000000044, -11.639773048991781
-7.930000000000044, -13.167394066206574
-7.920000000000044, -15.158308723593446
-7.9100000000000446, -17.860628077575264
-7.900000000000045, -21.738125925632698
-7.890000000000045, -27.769617657531995
-7.880000000000045, -38.438725699528526
-7.870000000000045, -62.43100977711028
-7.860000000000046, -166.1590592141294
-7.850000000000046, 251.1538349983894
-7.840000000000046, 71.52472905429006
-7.830000000000046, 41.70257375397927
-7.8200000000000465, 29.43332522675005
-7.810000000000047, 22.74409519911922
-7.800000000000047, 18.533819022682547
-7.790000000000047, 15.640153880787404
-7.780000000000047, 13.529206409122464
-7.7700000000000475, 11.921373833580295
-7.760000000000048, 10.656056585240956
-7.750000000000048, 9.634435115659363
-7.740000000000048, 8.792369030674843
-7.730000000000048, 8.086411489125867
-7.720000000000049, 7.486086669522148
-7.710000000000049, 6.969385369394035
-7.700000000000049, 6.520015775265799
-7.690000000000049, 6.125660161153702
-7.6800000000000495, 5.776832788980002
-7.67000000000005, 5.466110269950922
-7.66000000000005, 5.187599981043024
-7.65000000000005, 4.936564843666993
-7.64000000000005, 4.709153313612242
-7.6300000000000505, 4.502201701051277
-7.620000000000051, 4.31308718170814
-7.610000000000051, 4.139616955549185
-7.600000000000051, 3.979943590360351
-7.590000000000051, 3.832499606765593
-7.580000000000052, 3.695946388660419
-7.570000000000052, 3.569133887920055
-7.560000000000052, 3.451068553156407
-7.550000000000052, 3.3408875887140104
-7.540000000000052, 3.2378381326227514
-7.530000000000053, 3.1412602907096274
-7.520000000000053, 3.0505732186481165
-7.510000000000053, 2.9652636316923195
-7.500000000000053, 2.884876262020349
-7.4900000000000535, 2.8090058891279295
-7.480000000000054, 2.737290648836696
-7.470000000000054, 2.6694063878253096
-7.460000000000054, 2.6050618779220427
-7.450000000000054, 2.5439947411836066
-7.440000000000055, 2.4859679655736975
-7.430000000000055, 2.4307669137325085
-7.420000000000055, 2.378196745303106
-7.410000000000055, 2.3280801876116826
-7.400000000000055, 2.2802556009886628
-7.390000000000056, 2.234575294278877
-7.380000000000056, 2.190904053591721
-7.370000000000056, 2.1491178534497486
-7.360000000000056, 2.1091027244889045
-7.3500000000000565, 2.0707537559664404
-7.340000000000057, 2.033974214716939
-7.330000000000057, 1.998674764999973
-7.320000000000057, 1.9647727760135651
-7.310000000000057, 1.9321917057926508
-7.3000000000000576, 1.9008605518408148
-7.290000000000058, 1.8707133602126587
-7.280000000000058, 1.841688785918554
-7.270000000000058, 1.8137296985000626
-7.260000000000058, 1.7867828274528563
-7.250000000000059, 1.7607984428790138
-7.240000000000059, 1.7357300673523466
-7.230000000000059, 1.7115342154953104
-7.220000000000059, 1.6881701582079238
-7.2100000000000595, 1.665599708869177
-7.20000000000006, 1.6437870291592154
-7.19000000000006, 1.6226984524339332
-7.18000000000006, 1.6023023228291244
-7.17000000000006, 1.5825688484845322
-7.1600000000000605, 1.5634699674637413
-7.150000000000061, 1.5449792251076349
-7.140000000000061, 1.5270716617006364
-7.130000000000061, 1.5097237094527545
-7.120000000000061, 1.4929130979091738
-7.110000000000062, 1.4766187669945974
-7.100000000000062, 1.460820786983725
-7.090000000000062, 1.4455002847634173
-7.080000000000062, 1.4306393758177023
-7.0700000000000625, 1.416221101424836
-7.060000000000063, 1.4022293706070763
-7.050000000000063, 1.3886489064195773
-7.040000000000063, 1.3754651962054352
-7.030000000000063, 1.3626644454801609
-7.0200000000000635, 1.3502335351411392
-7.010000000000064, 1.3381599817265168
